Project Name ,Developer Name,Location,Asset Type,Unit Type,BUA,Land Area,Garden,Unit Price,PSM,Payment yrs raw,Payment Yrs,Down Payment ,Delivery %,Cash discount,Delivery Date,Finishing Specs.,Maintenance,Phase,Date of Update,Updated by,Source of info.,Months from Update,Notes,Offering
Rai Valleys,Madinet Masr,Mostakbal City,Residential,Villa,239,,49,20945093.06,87636.37264,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-09-25,Nour,Direct Sales,04,Roof = 72m2,Sell
Origami Golf,Madinet Masr,1st Settlement,Residential,Apartment,166.31,,,12958667.04,77918.74836,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-09-25,Nour,Direct Sales,04,,Sell
Badya,Palm Hills,October Gardens,Residential,Apartment,127.14,,,11849084,93197.13701,8,Cash - 8 Yrs,0.1,,,2030,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,Escalating offer: 1.5% DP (12 Yrs),Rent
Badya,Palm Hills,October Gardens,Residential,Apartment,151.07,,,14393710,95278.41398,8,Cash - 8 Yrs,0.1,,,2030,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,"Escalating offer: 1.5% DP (12 Yrs)
Roof: 23 m2",Rent
Badya,Palm Hills,October Gardens,Residential,Townhouse,190.5,,,17935000,94146.98163,8,8 Yrs,0.1,,,2030,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,Escalating offer: 1.5% DP (12 Yrs),Sell
Badya,Palm Hills,October Gardens,Residential,Apartment,154.67,,56.8,14621202,94531.5963,8,Cash - 8 Yrs,0.1,,,2030,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,Escalating offer: 1.5% DP (12 Yrs),Sell
Hacienda Blue,Palm Hills, Al Dabaa,Residential,Villa,278,420.5,,67012000,241050.3597,8,8 Yrs,0.05,,,2030,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,Roof: 78 m2,Sell
Hacienda Blue,Palm Hills, Al Dabaa,Residential,Townhouse,196,,,34499000,176015.3061,8,8 Yrs,0.05,,,2030,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,Roof: 46 m2,Sell
Hacienda Waters,Palm Hills,Ras El Hekma,Residential,Villa,374,549,,104272000,278802.139,8,8 Yrs,0.05,,,2029,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,,Sell
Hacienda Waters,Palm Hills,Ras El Hekma,Residential,Chalet,65.5,,,12999000,198458.0153,8,8 Yrs,0.05,,,2029,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,,Rent
Hacienda Waters,Palm Hills,Ras El Hekma,Residential,Chalet,151,,,22606000,149708.6093,8,8 Yrs,0.05,,,2029,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,Roof: 67 m2,Sell
Hacienda West,Palm Hills,Ras El Hekma,Residential,Chalet,111.5,,,23382675,209710.0897,7,7 Yrs,0.1,,,2027,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,Roof: 53 m2,Rent
Palm Hills Jirian,Palm Hills,El Sheikh Zayed,Residential,Townhouse,174,,,22783000,130936.7816,8,8 Yrs,0.05,,,2029,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,,Sell
Palm Hills Jirian,Palm Hills,El Sheikh Zayed,Residential,Villa,196,338,,39238000,200193.8776,8,8 Yrs,0.05,,,2029,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,Roof: 48 m2,Sell
PX,Palm Hills,6th of October,Residential,Apartment,152.9,,,25812000,168816.2198,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,,Sell
PX,Palm Hills,6th of October,Residential,Townhouse,200.72,,,25791000,128492.4273,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,Roof: 44 m2,Sell
Palm Hills Jirian,Palm Hills,El Sheikh Zayed,Residential,Apartment,159,,,22316000,140352.2013,8,8 Yrs,0.05,,,2029,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,,Rent
Palm Hills Alexandria,Palm Hills,Alexandria,Residential,Apartment,167.77,,,14692000,87572.27156,10,10 Yrs,0.05,,,2028,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,,Sell
Palm Hills Alexandria,Palm Hills,Alexandria,Residential,Townhouse,197.3,,,28683000,145377.5976,10,10 Yrs,0.05,,,2029,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,,Sell
Palm Hills New Cairo,Palm Hills,5th Settlement,Residential,Apartment,70,,,9334000,133342.8571,8,8 Yrs,0.1,,,2027,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,,Sell
Palm Hills New Cairo,Palm Hills,5th Settlement,Residential,Apartment,139.5,,57,19930000,142867.3835,8,8 Yrs,0.1,,,2027,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,,Sell
Bamboo III,Palm Hills,6th of October,Residential,Apartment,191,,,26178000,137057.5916,10,10 Yrs,0.05,,,2029,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,Penthouse: 45 m2,Sell
Bamboo III,Palm Hills,6th of October,Residential,Townhouse,220.5,,,30794000,139655.3288,10,10 Yrs,0.05,,,2029,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,,Sell
Palm Parks,Palm Hills,6th of October,Residential,Apartment,170.19,,,19451000,114289.9113,8,8 Yrs,0.05,,,2029,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,,Rent
Palm Parks,Palm Hills,6th of October,Residential,Apartment,91.68,,,8723000,95146.16056,8,8 Yrs,0.05,,,2029,Fully Finished,,,2025-09-21,Nour,Direct Sales,04,,Sell
Palm Hills New Cairo,Palm Hills,5th Settlement,Commercial,Office,154,,,25692000,166831.1688,8,8 Yrs,0.1,,,2027,Core & Shell,,,2025-09-21,Nour,Direct Sales,04,,Rent
Palm Hills New Cairo,Palm Hills,5th Settlement,Commercial,Office,94,,,15745000,167500,8,8 Yrs,0.1,,,2027,Core & Shell,,,2025-09-21,Nour,Direct Sales,04,,Sell
Ivoire West,PRE Developments,El Sheikh Zayed,Residential,Apartment,112,,,7952000,71000,10,10 Yrs,0.05,,,2029,Core & Shell,,,2025-09-21,Nour,Nawy,04,"Offer: 14 years 5% DP
Roof: 12 m2",Sell
Ivoire West,PRE Developments,El Sheikh Zayed,Residential,Duplex,240,,,19460000,81083.33333,10,10 Yrs,0.05,,,2029,Core & Shell,,,2025-09-21,Nour,Nawy,04,Garden: 85 m2,Sell
Ivoire West,PRE Developments,El Sheikh Zayed,Residential,Penthouse,208,,,16893760,81220,10,10 Yrs,0.05,,,2029,Core & Shell,,,2025-09-21,Nour,Nawy,04,,Sell
AM-PM,Hassan Allam Properties,1st Settlement,Commercial,Office,198,,,50670582,255912.0303,7,7 Yrs,0.1,,,2027,Core & Shell,,,2025-09-21,Nour,Nawy,04,,Sell
AM-PM,Hassan Allam Properties,1st Settlement,Commercial,Office,188,,,48021173,255431.7713,7,7 Yrs,0.1,,,2027,Core & Shell,,,2025-09-21,Nour,Nawy,04,,Rent
AM-PM,Hassan Allam Properties,1st Settlement,Commercial,Office,134,,,30362860,226588.5075,7,7 Yrs,0.1,,,2027,Core & Shell,,,2025-09-21,Nour,Nawy,04,,Sell
AM-PM,Hassan Allam Properties,1st Settlement,Commercial,Office,528,,,134813561,255328.714,7,7 Yrs,0.1,,,2027,Core & Shell,,,2025-09-21,Nour,Nawy,04,,Sell
Eastside,LMD,1st Settlement,Commercial,Office,108,,,16092000,149000,8,8 Yrs,0.05,,,2028,Core & Shell,,,2025-09-21,Nour,Nawy,04,,Sell
Eastside,LMD,1st Settlement,Commercial,Office,141,,,21009000,149000,8,8 Yrs,0.05,,,2028,Core & Shell,,,2025-09-21,Nour,Nawy,04,,Sell
Eastside,LMD,1st Settlement,Commercial,Office,1540,,,215631818,140020.661,8,8 Yrs,0.05,,,2028,Core & Shell,,,2025-09-21,Nour,Nawy,04,,Rent
Ivoire East,PRE Developments,5th Settlement,Residential,Apartment,99,,,8383000,84676.76768,10,10 Yrs,0.05,,,2029,Core & Shell,,,2025-09-21,Nour,Nawy,04,"Offer: 14 years 5% DP
Roof: 14 m2",Rent
Ivoire East,PRE Developments,5th Settlement,Residential,Townhouse,266,,,30655000,115244.3609,10,10 Yrs,0.05,,,2029,Core & Shell,,,2025-09-21,Nour,Nawy,04,Roof: 40 m2,Sell
